#  dt dtz fluor_diode izero_diode refl scanNr sry sty
1.000000014901161194e-01 4.617199897766113281e+00 1.105660000000000000e+05 6.810600000000000000e+04 8.228050000000000000e+05 4.860000000000000000e+02 1.874600052833557129e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.678800106048583984e+00 1.101640000000000000e+05 6.807200000000000000e+04 8.225610000000000000e+05 4.860000000000000000e+02 1.899600028991699219e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.740399837493896484e+00 1.031570000000000000e+05 6.812300000000000000e+04 8.268190000000000000e+05 4.860000000000000000e+02 1.924600005149841309e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.801799774169921875e+00 1.067470000000000000e+05 6.810300000000000000e+04 8.222770000000000000e+05 4.860000000000000000e+02 1.949599981307983398e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.863399982452392578e+00 1.096420000000000000e+05 6.813500000000000000e+04 8.557480000000000000e+05 4.860000000000000000e+02 1.974599957466125488e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.925000190734863281e+00 1.053910000000000000e+05 6.814900000000000000e+04 8.256730000000000000e+05 4.860000000000000000e+02 1.999599933624267578e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.986599922180175781e+00 1.057880000000000000e+05 6.812600000000000000e+04 8.318180000000000000e+05 4.860000000000000000e+02 2.024600058794021606e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.048200130462646484e+00 1.063670000000000000e+05 6.813100000000000000e+04 8.116080000000000000e+05 4.860000000000000000e+02 2.049600034952163696e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.109600067138671875e+00 1.092430000000000000e+05 6.811300000000000000e+04 8.030000000000000000e+05 4.860000000000000000e+02 2.074600011110305786e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.171199798583984375e+00 1.159830000000000000e+05 6.803200000000000000e+04 8.079310000000000000e+05 4.860000000000000000e+02 2.099599987268447876e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.232800006866455078e+00 1.133400000000000000e+05 6.812100000000000000e+04 8.220100000000000000e+05 4.860000000000000000e+02 2.124599963426589966e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.294400215148925781e+00 1.056980000000000000e+05 6.807800000000000000e+04 8.111170000000000000e+05 4.860000000000000000e+02 2.149599939584732056e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.355999946594238281e+00 1.065070000000000000e+05 6.806400000000000000e+04 8.172510000000000000e+05 4.860000000000000000e+02 2.174600064754486084e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.417399883270263672e+00 1.057380000000000000e+05 6.817900000000000000e+04 8.182110000000000000e+05 4.860000000000000000e+02 2.199600040912628174e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.479000091552734375e+00 1.124180000000000000e+05 6.816000000000000000e+04 8.278800000000000000e+05 4.860000000000000000e+02 2.224600017070770264e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.540599822998046875e+00 1.039140000000000000e+05 6.812000000000000000e+04 8.174260000000000000e+05 4.860000000000000000e+02 2.249599993228912354e-01 0.000000000000000000e+00
